cc_num,gender,city,city_pop,job,dob,acct_num,acct_num2,trans_num,unix_time,category,amt
2440000000000000.0,Male,Masbate,"95,389 people",Social worker,20/09/1961,786000000000.0,786000000000,796378571728737b9c6fb9bce743f0b7,1585037558,gas_transport,$82.84
4090000000000000.0,Male,Muntinlupa City,"504,509 people",Industrial/product designer,12/04/1938,722000000000.0,722000000000,f19c0e584c1fd59bc115b74e20f40778,1635789315,home,$56.00
3520000000000000.0,Male,Digos,"169,393 people","Administrator, charities/voluntary organisations",31/08/1970,968000000000.0,968000000000,6c6ee4e874bd6a2d8c9ee78e41f4d991,1622173127,gas_transport,$42.71
4730000000000000.0,M,Vigan,"53,879 people","Geologist, engineering",28/05/1945,227000000000.0,227000000000,e2f2c8b0de9ca20aa2e5e87e7eca8f3b,1593208228,personal_care,$48.26
371000000000000.0,F,Maasin,"85,560 people","Engineer, site",18/04/1966,994000000000.0,994000000000,249ed34cd0370bf77e579955654548d6,1589503270,entertainment,$8.18
345000000000000.0,M,Dasmarinas,"659,019 people",Diplomatic Services operational officer,02/04/1930,845000000000.0,845000000000,e1960ca9cfc3bc7de3cfb42f445512e7,1634027669,misc_pos,$11.99
4340000000000.0,M,Sorsogon,"168,110 people",Research scientist (medical),25/05/1942,971000000000.0,971000000000,b0b1dca2354ef8d8e5898337a1b70251,1635088846,kids_pets,$72.39
3580000000000000.0,M,Santa Rosa,"353,767 people","Clinical scientist, histocompatibility and immunogenetics",19/11/1966,867000000000.0,867000000000,71a4d7871475dfd36a48f6a3d5416ac4,1602712849,food_dining,$112.34
3570000000000000.0,M,Calapan,"133,893 people",Recycling officer,07/02/1970,726000000000.0,726000000000,ecb2262ee767e06f6e9c3c99409e0717,1598710728,home,$3.74
4140000000000000.0,M,Puerto Princesa,"255,116 people",Web designer,05/03/1952,471000000000.0,471000000000,6565ed75bb32b6036993c1d7e0bf65aa,1622262857,gas_transport,$87.28
5000000000000.0,M,Tuguegarao,"153,502 people",Outdoor activities/education manager,07/06/1966,750000000000.0,750000000000,d6f603997a7a96fc3d22b5b466e4a17b,1601080565,shopping_pos,$7.50
3540000000000000.0,Male,Cabanatuan City,"302,231 people",Engineering geologist,25/10/1949,432000000000.0,432000000000,a6ef0ef169d063800067bcb3a4a9a6db,1591474645,home,$24.15
3520000000000000.0,M,Masbate,"95,389 people",Wellsite geologist,20/11/1967,531000000000.0,531000000000,f68cff9ed2293420a8280a0c7ece9191,1609498943,misc_pos,$40.38
347000000000000.0,M,Antipolo,"776,386 people",Seismic interpreter,19/05/1959,564000000000.0,564000000000,33160b437c9fbb8ee083f334c51504d7,1628856313,home,$72.14
6010000000000000.0,Male,Pagadian,"199,060 people","Designer, furniture",24/10/1949,488000000000.0,488000000000,ae9ee2e455262a9b7c16374a37bebd10,1598673963,shopping_pos,$7.69
6550000000000000.0,M,Butuan,"337,063 people",Hotel manager,06/01/1947,790000000000.0,790000000000,4bd019309b64f0ba8a20d374a67fddc6,1633250281,food_dining,$17.73
6550000000000000.0,M,Butuan,"337,063 people",Hotel manager,06/01/1947,790000000000.0,790000000000,b964df03e025af5015a8938961e3e14d,1634841480,health_fitness,$119.66
4870000000000000.0,M,San Fernando,"121,812 people","Education officer, museum",18/07/1964,863000000000.0,863000000000,69787bbf9e2be9e17bbd2c163b3f92b6,1637319064,shopping_pos,$3.59
6010000000000000.0,M,Pagadian,"199,060 people","Designer, furniture",24/10/1949,488000000000.0,488000000000,b67bf9aafebc44599f3689849c36b771,1635900652,grocery_pos,$100.90
3520000000000000.0,M,Digos,"169,393 people","Administrator, charities/voluntary organisations",31/08/1970,968000000000.0,968000000000,a496b91b6f4ced6673c20b4eaaedddab,1608260476,,$78.60
6570000000000000.0,M,Santiago,"134,830 people",Art therapist,11/10/1965,717000000000.0,717000000000,95eeb510cf2fd5d5bab2ec0e09c058e9,1587685413,kids_pets,$40.52
6010000000000000.0,Male,Pagadian,"199,060 people","Designer, furniture",24/10/1949,488000000000.0,488000000000,59c01fc65d8c438a728bde642f390d85,1634366152,gas_transport,$94.14
4730000000000000.0,M,Vigan,"53,879 people","Geologist, engineering",28/05/1945,227000000000.0,227000000000,8fe5c6306df7e6f67319f29fdebdc8d4,1599790008,misc_pos,$4.09
3520000000000000.0,M,Masbate,"95,389 people",Wellsite geologist,20/11/1967,531000000000.0,531000000000,74baf19a8c9d96170e98e5b875f18778,1621318594,gas_transport,$41.77
676000000000.0,M,Dasmarinas,"659,019 people",,12/12/1958,,798000000000,0b91e1eb766a867c56c8fbb87dbce31f,1582498177,kids_pets,$107.60
36900000000000.0,M,Mati,"141,141 people",Psychotherapist,03/02/1970,851000000000.0,851000000000,da25bd6908f2906230f1e1e1299e6e20,1592543423,misc_pos,$7.13
3570000000000000.0,M,Calapan,"133,893 people",Recycling officer,07/02/1970,726000000000.0,726000000000,c477925e144360897f166d49745f36c1,1610071292,entertainment,$18.50
2320000000000000.0,Male,Binan,"333,028 people","Teacher, early years/pre",08/02/1960,664000000000.0,664000000000,bd5b4ce59b7d41a6600ce8d431e06f6b,1637379013,,$80.76
4.14e+18,M,Calapan,"133,893 people",Financial controller,23/07/1953,628000000000.0,628000000000,141656337d37eec0e126d3776362f254,1595458052,home,$62.75
4340000000000.0,M,Sorsogon,"168,110 people",Research scientist (medical),25/05/1942,971000000000.0,971000000000,c21eec1025c43985c5a9c31833ef066d,1596238852,health_fitness,$19.78
502000000000.0,Male,Tacloban,"242,089 people",Aid worker,20/05/1949,563000000000.0,563000000000,da97755af16a682fcf84e1ff672ca936,1622541182,shopping_pos,$8.35
213000000000000.0,Male,Batangas,"329,874 people","Copywriter, advertising",23/07/1943,840000000000.0,840000000000,2842c9d95db1f056e50b4e4aab25a88a,1631365717,kids_pets,$76.44
4890000000000.0,M,Dumaguete City,"131,377 people",,16/05/1941,,99645822249,f96dcb6d05044ed13757a5d688ff902a,1609018191,travel,$2.19
2280000000000000.0,M,Olongapo,"233,040 people",Technical author,25/12/1956,854000000000.0,854000000000,48240b8c2b47a168a9262e6d792e63a2,1625722835,misc_pos,$6.60
4010000000000.0,Male,Malaybalay,"174,625 people",Tourist information centre manager,11/01/1966,439000000000.0,439000000000,c88cabc97bfe6c88f68259d1a6505ea7,1598375816,home,$62.03
4890000000000.0,M,Dumaguete City,"131,377 people",Drilling engineer,16/05/1941,996400000000.0,99645822249,27b65e112a5cb1189ffb815a2af692af,1619667339,shopping_pos,$8.81
4060000000000000.0,M,Valenzuela,"620,422 people",Operational investment banker,06/12/1963,231000000000.0,231000000000,4e14bac055a80b7f2b456b0ac69db709,1626652776,personal_care,$4.87
4010000000000.0,Male,Malaybalay,"174,625 people",Tourist information centre manager,11/01/1966,439000000000.0,439000000000,0523d726f9e87a5555191639c04c128a,1625467847,misc_net,$9.49
180000000000000.0,M,Calapan,"133,893 people",Tourist information centre manager,05/12/1949,124000000000.0,124000000000,d13fc1bd9f8bcff7da2954bc5f5fc37d,1585499185,personal_care,$19.29
